ResponseId	Trip_Number	raw_response	units	distance_in_raw_response_units	mode	likely_dominant_mode	distance_in_kilometers
R_3hiPpTQLi8lKi8M	Distance Trip 1	630 miles (plane)	miles	630	plane	plane	630
R_3HLcPSJWOUtWrvs	Distance Trip 1	1113 plane	miles	1113	plane	plane	1113
R_3hmy0BrdYrinrfS	Distance Trip 1	100 train	kilometers	100	train	train	100
R_3ht3myNBktKgu0R	Distance Trip 1	7083 (plane)	kilometers	7083	plane	plane	7083
R_3Hua8rhi8anK9pA	Distance Trip 1	11422	kilometers	11422	unknown	unknown	11422
R_3HYSItyc86reNR4	Distance Trip 1	9290.88	kilometers	9290.88	unknown	unknown	9290.88
R_3IcqT2G4loXl6Mm	Distance Trip 1	2148 (plane)	kilometers	2148	plane	plane	2148
R_3iElG7cwS0Na0MB	Distance Trip 1	1774.67 (plane)	miles	1774.6699999999998	plane	plane	1774.6699999999998
R_3iIosOap2baMMVa	Distance Trip 1	200 train	miles	200	train	train	200
R_3iJ7PoSgfliZZHK	Distance Trip 1	2595 (airplane)	miles	2595	plane	plane	2595
R_3ijOf9Ye3pnV0jz	Distance Trip 1	8784 (plane)	kilometers	8784	plane	plane	8784
R_3ikCzNNDPdNTLRo	Distance Trip 1	4566.79 (flight)	kilometers	4566.79	plane	plane	4566.79
R_3IPHkCA3kEa0xud	Distance Trip 1	170 (train)	miles	170	train	train	170
R_3IRJhuCzXdyFHq1	Distance Trip 1	3700 (plane)	miles	3700	plane	plane	3700
R_3irRRQ697jnikxo	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_3irRu3VoSGWy1D2	Distance Trip 1	120 train	miles	120	train	train	120
R_3j1lyoOAvZ8I2Ly	Distance Trip 1	190, train	kilometers	190	train	train	190
R_3j2OtbvMcceGw1v	Distance Trip 1	260 (car)	miles	260	car	car	260
R_3jdIVghhYznuDoz	Distance Trip 1	700	miles	700	unknown	unknown	700
R_3jeZHpNdgv51w15	Distance Trip 1	8000 (flight)	kilometers	8000	plane	plane	8000
R_3JgtVuma1C4kXHk	Distance Trip 1	570 (train)	kilometers	570	train	train	570
R_3JL5Ira3eIcSbZN	Distance Trip 1	quant mech warsaw	NA	NA	NA	NA	NA
